,Gender,Age,Location,Financial Condition,Adaptivity Level
0,Boy,21-25,Yes,Mid,Moderate
1,Girl,21-25,Yes,Mid,Moderate
2,Girl,16-20,Yes,Mid,Moderate
3,Girl,11-15,Yes,Mid,Moderate
4,Girl,16-20,Yes,Poor,Low
5,Boy,11-15,Yes,Poor,Low
6,Boy,11-15,Yes,Mid,Low
7,Boy,11-15,Yes,Mid,Moderate
8,Boy,16-20,Yes,Mid,Low
9,Boy,11-15,Yes,Mid,Moderate
10,Girl,16-20,Yes,Mid,Low
11,Girl,16-20,Yes,Mid,Low
12,Boy,11-15,Yes,Mid,Moderate
13,Girl,16-20,No,Mid,Low
14,Girl,11-15,Yes,Poor,Moderate
15,Boy,11-15,Yes,Poor,Low
16,Girl,26-30,Yes,Poor,Low
17,Girl,21-25,No,Mid,Low
18,Girl,16-20,Yes,Mid,Low
19,Girl,16-20,Yes,Mid,Moderate
20,Girl,6-10,Yes,Rich,High
21,Boy,6-10,Yes,Mid,Low
22,Girl,16-20,No,Mid,Low
23,Girl,11-15,Yes,Mid,Moderate
24,Boy,16-20,Yes,Mid,Moderate
25,Boy,11-15,Yes,Mid,Moderate
26,Girl,1-5,Yes,Mid,Moderate
27,Boy,26-30,Yes,Mid,Moderate
28,Girl,1-5,Yes,Mid,Moderate
29,Girl,16-20,Yes,Mid,Moderate
30,Girl,6-10,Yes,Mid,Moderate
31,Girl,16-20,No,Mid,Low
32,Boy,21-25,Yes,Mid,Moderate
33,Girl,16-20,Yes,Mid,Moderate
34,Boy,11-15,Yes,Poor,Low
35,Girl,21-25,Yes,Mid,Moderate
36,Girl,21-25,Yes,Mid,Moderate
37,Girl,6-10,Yes,Poor,High
38,Girl,26-30,No,Poor,Low
39,Girl,11-15,Yes,Mid,Low
40,Boy,21-25,Yes,Mid,Moderate
41,Girl,21-25,Yes,Mid,Moderate
42,Girl,16-20,Yes,Poor,Low
43,Boy,11-15,Yes,Mid,Moderate
44,Boy,21-25,Yes,Mid,Low
45,Boy,21-25,Yes,Mid,Moderate
46,Girl,1-5,Yes,Poor,Moderate
47,Girl,11-15,Yes,Mid,Moderate
48,Boy,11-15,Yes,Mid,Moderate
49,Boy,21-25,Yes,Mid,Low
50,Boy,16-20,Yes,Mid,Low
51,Girl,11-15,Yes,Mid,Moderate
52,Boy,21-25,Yes,Mid,Moderate
53,Boy,26-30,No,Poor,Moderate
54,Boy,1-5,Yes,Poor,Low
55,Girl,1-5,Yes,Mid,Moderate
56,Boy,21-25,Yes,Mid,Low
57,Girl,16-20,Yes,Mid,Low
58,Girl,11-15,No,Mid,Low
59,Boy,16-20,No,Poor,Low
60,Boy,21-25,Yes,Mid,Moderate
61,Boy,21-25,No,Mid,Low
62,Girl,16-20,Yes,Mid,Moderate
63,Boy,11-15,Yes,Mid,Moderate
64,Boy,11-15,Yes,Poor,Low
65,Boy,26-30,No,Mid,High
66,Boy,11-15,Yes,Mid,Moderate
67,Girl,6-10,No,Mid,Low
68,Girl,11-15,Yes,Mid,Low
69,Boy,11-15,Yes,Mid,Moderate
70,Boy,21-25,No,Poor,Low
71,Girl,16-20,No,Mid,Low
72,Boy,21-25,Yes,Mid,Low
73,Girl,11-15,Yes,Poor,Low
74,Boy,11-15,Yes,Mid,Moderate
75,Girl,6-10,Yes,Mid,Low
76,Girl,16-20,Yes,Mid,Moderate
77,Girl,21-25,No,Mid,Low
78,Girl,11-15,Yes,Mid,Moderate
79,Boy,11-15,Yes,Mid,Moderate
80,Boy,11-15,Yes,Poor,Low
81,Girl,11-15,Yes,Mid,Moderate
82,Boy,21-25,Yes,Mid,Moderate
83,Girl,11-15,No,Mid,Low
84,Girl,1-5,Yes,Poor,Moderate
85,Boy,11-15,Yes,Mid,Moderate
86,Boy,11-15,Yes,Mid,High
87,Girl,21-25,Yes,Mid,Moderate
88,Boy,11-15,Yes,Mid,Moderate
89,Boy,26-30,No,Poor,Low
90,Boy,21-25,No,Mid,Moderate
91,Boy,21-25,Yes,Mid,Moderate
92,Boy,21-25,Yes,Mid,Moderate
93,Boy,21-25,Yes,Poor,Low
94,Girl,1-5,Yes,Poor,Moderate
95,Girl,16-20,Yes,Mid,Moderate
96,Boy,11-15,Yes,Mid,Moderate
97,Girl,11-15,No,Poor,Low
98,Boy,21-25,Yes,Mid,Moderate
99,Boy,16-20,Yes,Mid,Low
100,Boy,11-15,Yes,Mid,Low
101,Girl,11-15,Yes,Mid,Moderate
102,Girl,16-20,No,Mid,Low
103,Boy,11-15,Yes,Mid,Moderate
104,Girl,1-5,Yes,Poor,Moderate
105,Boy,11-15,Yes,Mid,Moderate
106,Girl,11-15,Yes,Mid,Moderate
107,Girl,11-15,Yes,Mid,Moderate
108,Boy,21-25,Yes,Mid,Moderate
109,Girl,21-25,Yes,Mid,High
110,Boy,6-10,Yes,Mid,Low
111,Girl,16-20,Yes,Mid,Low
112,Boy,11-15,No,Mid,Low
113,Boy,21-25,Yes,Poor,Moderate
114,Girl,16-20,Yes,Mid,Moderate
115,Boy,21-25,Yes,Mid,Moderate
116,Boy,26-30,Yes,Mid,Low
